algorithm,period,steps,wall_seconds,steps_per_second,final_active_vehicles,final_queue_proxy
max_pressure,morning,50,0.148,337.18,6,9
max_pressure,morning,50,0.145,345.59,13,22
ugat_frap,morning,50,0.299,167.34,14,24
max_pressure,morning,7500,28.004,267.82,82,136
ugat_frap,morning,7500,40.965,183.08,87,147
ugat_frap,morning,50,0.212,236.21,14,24
ugat_frap,morning,7500,32.285,232.31,87,147
ugat_frap,morning,100,0.585,170.89,14,24
ugat_frap,morning,100,0.75,133.31,14,24
ugat_frap,morning,100,0.539,185.43,14,24
ugat_frap,morning,100,0.411,243.05,14,24
max_pressure,morning,7500,25.634,292.58,82,136
ugat_frap,morning,7500,35.644,210.41,87,147
ugat_frap,morning,7500,33.727,222.37,87,147
ugat_frap,morning,7500,46.027,162.95,87,147
ugat_frap,morning,100,0.458,218.38,14,24
ugat_frap,morning,100,0.423,236.14,14,24
ugat_frap,morning,7500,36.307,206.57,87,147
ugat_frap,morning,7500,33.132,226.37,87,147
ugat_frap,morning,7500,97.915,76.6,87,147
ugat_frap,morning,7500,128.632,58.31,84,142
ugat_frap,morning,7500,103.731,72.3,84,142
ugat_frap,morning,7500,150.189,49.94,85,144
ugat_frap,morning,7500,61.891,121.18,85,144
ugat_frap,morning,7500,59.999,125.0,85,144
ugat_frap,morning,7500,60.8,123.35,84,142
ugat_frap,morning,7500,60.685,123.59,84,142
ugat_frap,morning,10,0.084,118.42,0,0
ugat_frap,morning,7500,61.581,121.79,84,142
ugat_frap,morning,7500,60.545,123.88,84,142
ugat_frap,morning,7500,62.912,119.21,84,142
ugat_frap,morning,7500,60.177,124.63,85,144
ugat_frap,morning,7500,60.171,124.64,84,142
ugat_frap,morning,7500,60.985,122.98,87,147
ugat_frap,morning,7500,61.691,121.57,87,147
ugat_frap,morning,7500,60.119,124.75,87,147
ugat_frap,morning,7500,60.888,123.18,87,147
