period,method,average_travel_time_s,estimated_delay_s,mean_queue_proxy,max_queue_proxy,final_queue_proxy,final_active_vehicles,completed_vehicles_est,throughput_est,frap_override_rate,tt_improvement_vs_fixed_pct,delay_improvement_vs_fixed_pct,queue_improvement_vs_fixed_pct,tt_improvement_vs_transyt_pct,tt_improvement_vs_no_transyt_pct
morning,固定配时,1204.245,1130.715,17.750667,47.0,23.0,23.0,77726.0,0.999704,,0.0,0.0,0.0,-4.439148,0.595644
midday,固定配时,846.804,775.401,7.133333,19.0,13.0,13.0,54851.0,0.999763,,0.0,0.0,0.0,-8.358734,-11.084817
evening,固定配时,980.884,909.232,12.706667,36.0,16.0,16.0,87035.0,0.999816,,0.0,0.0,0.0,-6.953101,-8.015809
morning,TRANSYT-only,1153.059,1079.528,16.361333,47.0,23.0,23.0,77726.0,0.999704,,4.250464,4.526959,7.826936,0.0,4.820791
midday,TRANSYT-only,781.482,710.08,6.182667,19.0,13.0,13.0,54851.0,0.999763,,7.713946,8.424157,13.327103,0.0,-2.515794
evening,TRANSYT-only,917.116,845.465,11.253333,36.0,16.0,16.0,87035.0,0.999816,,6.501075,7.013282,11.437566,0.0,-0.993621
morning,UGAT+FRAP（无TRANSYT）,1211.461,1137.93,17.952,51.0,27.0,25.0,77724.0,0.999678,,-0.599214,-0.638092,-1.13423,-5.064962,0.0
midday,UGAT+FRAP（无TRANSYT）,762.304,690.901,5.905333,19.0,13.0,13.0,54851.0,0.999763,,9.978696,10.897587,17.214953,2.454055,0.0
evening,UGAT+FRAP（无TRANSYT）,908.093,836.442,11.044,36.0,18.0,17.0,87034.0,0.999805,,7.420959,8.005658,13.084995,0.983845,0.0
morning,UGAT+TRANSYT（去FRAP）,1152.284,1078.754,16.337333,47.0,23.0,23.0,77726.0,0.999704,0.0306,4.31482,4.595411,7.962142,0.067213,4.884763
midday,UGAT+TRANSYT（去FRAP）,781.482,710.08,6.182667,19.0,13.0,13.0,54851.0,0.999763,0.0036,7.713946,8.424157,13.327103,0.0,-2.515794
evening,UGAT+TRANSYT（去FRAP）,916.337,844.686,11.237333,36.0,16.0,16.0,87035.0,0.999816,0.003933,6.580493,7.098958,11.563484,0.08494,-0.907837
morning,FRAP+TRANSYT（去UGAT）,1151.196,1077.666,16.318667,47.0,23.0,23.0,77726.0,0.999704,0.006533,4.405167,4.691633,8.067303,0.16157,4.974572
midday,FRAP+TRANSYT（去UGAT）,780.411,709.008,6.168,19.0,13.0,13.0,54851.0,0.999763,0.0018,7.840421,8.562408,13.53271,0.137047,-2.375299
evening,FRAP+TRANSYT（去UGAT）,914.372,842.721,11.193333,36.0,16.0,16.0,87035.0,0.999816,0.002267,6.780822,7.315075,11.909759,0.299199,-0.691449
morning,完整 UGAT+FRAP+TRANSYT,1149.833,1076.303,16.282667,47.0,23.0,23.0,77726.0,0.999704,0.148,4.51835,4.812176,8.270112,0.279778,5.087081
midday,完整 UGAT+FRAP+TRANSYT,777.75,706.348,6.128,19.0,13.0,13.0,54851.0,0.999763,0.030667,8.154662,8.905457,14.093458,0.477554,-2.026226
evening,完整 UGAT+FRAP+TRANSYT,912.174,840.523,11.14,36.0,16.0,16.0,87035.0,0.999816,0.049867,7.004906,7.556817,12.329486,0.538863,-0.449403
