period,period_label,method_key,method,average_travel_time_s,estimated_delay_s,mean_queue_proxy,max_queue_proxy,throughput_est,completed_vehicles_est,tt_improvement_vs_fixed_pct,delay_improvement_vs_fixed_pct,queue_improvement_vs_fixed_pct
morning,早高峰,fixed,固定配时,1204.245,1130.715,17.750666666666667,47.0,0.999704,77726.0,0.0,0.0,0.0
midday,平峰,fixed,固定配时,846.804,775.401,7.133333333333334,19.0,0.999763,54851.0,0.0,0.0,0.0
evening,晚高峰,fixed,固定配时,980.884,909.232,12.706666666666667,36.0,0.999816,87035.0,0.0,0.0,0.0
morning,早高峰,transyt,TRANSYT-only,1153.059,1079.528,16.361333333333334,47.0,0.999704,77726.0,4.250463983657805,4.526958605837891,7.826936077518214
midday,平峰,transyt,TRANSYT-only,781.482,710.08,6.182666666666667,19.0,0.999763,54851.0,7.713945611971602,8.424157306993402,13.327102803738319
evening,晚高峰,transyt,TRANSYT-only,917.116,845.465,11.253333333333334,36.0,0.999816,87035.0,6.5010745409243125,7.013281538705186,11.437565582371455
morning,早高峰,ugat_frap,UGAT+FRAP（无TRANSYT）,1211.461,1137.93,17.952,51.0,0.999678,77724.0,-0.5992136151696809,-0.6380918268529334,-1.134229700292952
midday,平峰,ugat_frap,UGAT+FRAP（无TRANSYT）,762.304,690.901,5.905333333333333,19.0,0.999763,54851.0,9.978696368935433,10.89758718392161,17.214953271028048
evening,晚高峰,ugat_frap,UGAT+FRAP（无TRANSYT）,908.093,836.442,11.044,36.0,0.999805,87034.0,7.420959053262164,8.005657521952589,13.084994753410282
morning,早高峰,ugat_transyt,UGAT+TRANSYT（去FRAP）,1152.284,1078.754,16.337333333333333,47.0,0.999704,77726.0,4.314819658790345,4.595410868344367,7.962142266957113
midday,平峰,ugat_transyt,UGAT+TRANSYT（去FRAP）,781.482,710.08,6.182666666666667,19.0,0.999763,54851.0,7.713945611971602,8.424157306993402,13.327102803738319
evening,晚高峰,ugat_transyt,UGAT+TRANSYT（去FRAP）,916.337,844.686,11.237333333333334,36.0,0.999816,87035.0,6.580492698423058,7.098958241680885,11.563483735571877
morning,早高峰,frap_transyt,FRAP+TRANSYT（去UGAT）,1151.196,1077.666,16.318666666666665,47.0,0.999704,77726.0,4.405166722718382,4.691633170162241,8.067302636520706
midday,平峰,frap_transyt,FRAP+TRANSYT（去UGAT）,780.411,709.008,6.168,19.0,0.999763,54851.0,7.840421160032314,8.562408353871083,13.532710280373836
evening,晚高峰,frap_transyt,FRAP+TRANSYT（去UGAT）,914.372,842.721,11.193333333333333,36.0,0.999816,87035.0,6.780822197120155,7.315074700406493,11.909758656873034
morning,早高峰,ugat_frap_transyt,完整 UGAT+FRAP+TRANSYT,1149.833,1076.303,16.282666666666668,47.0,0.999704,77726.0,4.518349671370844,4.812176366281495,8.270111920679035
midday,平峰,ugat_frap_transyt,完整 UGAT+FRAP+TRANSYT,777.75,706.348,6.128,19.0,0.999763,54851.0,8.154661527342807,8.905456660489218,14.093457943925236
evening,晚高峰,ugat_frap_transyt,完整 UGAT+FRAP+TRANSYT,912.174,840.523,11.14,36.0,0.999816,87035.0,7.004905778868861,7.5568171819733525,12.329485834207762
